id;createdAt;updateAt;nome;valuta;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12
112;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Frumento duro bio - Fino;€/Kg;0,48;0,48;0,47;0,47;0,46;0,46;0,46;0,45;0,45;0,45;0,42;0,41;0,40;0,39
113;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Frumento duro bio - Timilia;€/Kg;0,00;0,00;0,00;0,00;0,00;0,73;0,73;0,73;0,70;0,70;0,70;0,70;0,72;0,72
114;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Latte di vacca bio - Generale;€/Kg;0,66;0,66;0,51;0,57;0,60;0,60;0,61;0,55;0,55;0,53;0,55;0,55;0,55;0,53
115;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Orzo bio - Nazionale;€/Kg;0,22;0,22;0,20;0,23;0,22;0,22;0,22;0,25;0,25;0,25;0,25;0,25;0,22;0,22
116;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pecorino Romano DOP bio - Stagionato;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,50;13,03;13,03;12,50;12,50
117;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Soia bio - Soia nazionale;€/Kg;0,67;0,67;0,67;0,67;0,70;0,70;0,72;0,72;0,72;0,70;0,70;0,65;0,66;0,68
118;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Uova bio - M;€/100 unità;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00
119;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Ricotta ovina bio - Latte ovino;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;7,00;0,00;0,00
120;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pecorino Romano DOP bio - Fresco;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,50;0,00;0,00;0,00;0,00
121;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Frumento duro bio - Simeto;€/Kg;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
122;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Frumento duro bio - Arcangelo;€/Kg;0,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00